Irradiance,Ta,f_sw,Device,Tj,delta_Tj
0.0,27.433397,10000,IGBT,28.881758458363333,1.534435000000002
0.0,26.650000000000002,10000,IGBT,27.63194618454524,1.0443339999999992
0.0,25.99579,10000,IGBT,26.725533600431966,0.7755790000000005
0.0,25.583287999760017,10000,IGBT,26.074680639308855,0.5241070000000008
0.0,25.295763001679866,10000,IGBT,25.642145312455003,0.36945799999999807
0.0,25.024920001439884,10000,IGBT,25.30788806215503,0.30298799999999915
6.719469162467004e-07,24.78740996112311,10000,IGBT,25.02869834989201,0.25857699999999895
1.4604574764922487,24.562379249820015,10000,IGBT,24.784890706023518,0.2310900000000018
46.402814110871134,24.700304783297334,10000,IGBT,24.982387377969765,1.8693980000000003
153.69572582673388,25.50070402087833,10000,IGBT,31.209372383729303,13.172144000000003
